image_name,signal_b50,signal_b800,signal_b2000
labels_mask_case_id_TCGA-YA-A8S7_4_1_cell_expansion_9_0_threshold_0_6_facet_size_3.0.csv.tif,24725.321637657165,16744.574707681422,10603.272152939
labels_mask_case_id_TCGA-K7-AAU7_1_3_cell_expansion_9_0_threshold_0_6_facet_size_3.0.csv.tif,22910.315128526265,6179.467534802878,2436.348268810147
labels_mask_case_id_TCGA-CC-A8HT_0_2_cell_expansion_13_0_threshold_0_6_facet_size_3.0.csv.tif,24437.701651341165,14467.10876059336,8267.614294081282
labels_mask_case_id_TCGA-CC-A3MA_3_2_cell_expansion_5_0_threshold_0_4_facet_size_3.0.csv.tif,24785.9743520918,17463.247082658738,11690.38872700671
labels_mask_case_id_TCGA-G3-A7M6_0_4_cell_expansion_9_0_threshold_0_8_facet_size_3.0.csv.tif,23951.564049096996,11712.770985214627,6071.54004089574
labels_mask_case_id_TCGA-BC-A69I_0_3_cell_expansion_9_0_threshold_0_7_facet_size_3.0.csv.tif,23981.28740076562,11630.31815512325,5854.795442010125
labels_mask_case_id_TCGA-CC-A1HT_4_0_cell_expansion_1_0_threshold_0_4_facet_size_3.0.csv.tif,23518.220422329625,9832.330028780452,6060.284169754774
labels_mask_case_id_TCGA-CC-A3MA_4_0_cell_expansion_3_0_threshold_0_6_facet_size_3.0.csv.tif,24480.653248288378,15345.994172407298,9863.668234133424
labels_mask_case_id_TCGA-G3-A5SK_2_3_cell_expansion_3_0_threshold_0_4_facet_size_3.0.csv.tif,23938.330392737305,12154.97279206362,7586.557991241245
labels_mask_case_id_TCGA-CC-A1HT_0_0_cell_expansion_7_0_threshold_0_5_facet_size_3.0.csv.tif,24247.564617432337,13924.51947315816,8563.037015263051
labels_mask_case_id_TCGA-BC-A69I_4_1_cell_expansion_15_0_threshold_0_6_facet_size_3.0.csv.tif,23812.01906311242,10645.086184217847,5236.839762851485
labels_mask_case_id_TCGA-CC-A8HT_2_1_cell_expansion_15_0_threshold_0_8_facet_size_3.0.csv.tif,23114.838189537026,7006.790251225519,2544.162464300416
labels_mask_case_id_TCGA-G3-A5SK_4_3_cell_expansion_1_0_threshold_0_6_facet_size_3.0.csv.tif,23143.811304194583,7687.147611631623,4262.274527787857
labels_mask_case_id_TCGA-K7-AAU7_0_4_cell_expansion_13_0_threshold_0_6_facet_size_3.0.csv.tif,23858.485039003022,11257.174150390536,6138.542174995831
labels_mask_case_id_TCGA-CC-A8HT_3_3_cell_expansion_13_0_threshold_0_4_facet_size_3.0.csv.tif,24665.246372315774,16496.94529309841,10772.270171150674
